scientific_name,latitude,longitude,timestamp_occ,timestamp_round,lat_round,lon_round,timestamp_ocean
Puerulus sewelli,13.0,93.11,2011-11-28,2011-11-28,13.0,93.11,
Puerulus sewelli,6.84,93.05,2011-12-10,2011-12-10,6.84,93.05,
Puerulus sewelli,7.75,93.21,2011-12-13,2011-12-13,7.75,93.21,
Puerulus sewelli,12.47,74.15,2013-08-24,2013-08-24,12.47,74.15,
Puerulus sewelli,11.8,92.33,2015-01-14,2015-01-14,11.8,92.33,
Puerulus sewelli,11.21,92.36,2015-01-15,2015-01-15,11.21,92.36,
Puerulus sewelli,11.35,92.39,2015-01-11,2015-01-11,11.35,92.39,
Puerulus sewelli,10.86,92.19,2015-01-26,2015-01-26,10.86,92.19,
Puerulus sewelli,6.83,93.76,2015-02-01,2015-02-01,6.83,93.76,
Puerulus sewelli,12.53,93.15,2016-04-10,2016-04-10,12.53,93.15,
Puerulus sewelli,12.74,93.11,2016-04-10,2016-04-10,12.74,93.11,
Puerulus sewelli,13.24,93.17,2016-04-11,2016-04-11,13.24,93.17,
Puerulus sewelli,11.93,92.28,2016-04-12,2016-04-12,11.93,92.28,
Puerulus sewelli,12.49,93.18,2017-11-25,2017-11-25,12.49,93.18,
Puerulus sewelli,13.27,93.26,2017-11-26,2017-11-26,13.27,93.26,
Puerulus sewelli,9.5,75.7,2018-03-03,2018-03-03,9.5,75.7,
Bathyarctus rubens,13.03,93.1,2010-09-16,2010-09-16,13.03,93.1,
Bathyarctus rubens,13.22,93.18,2011-11-27,2011-11-27,13.22,93.18,
Bathyarctus rubens,13.0,93.11,2011-11-28,2011-11-28,13.0,93.11,
Bathyarctus rubens,10.86,92.19,2015-01-26,2015-01-26,10.86,92.19,
Bathyarctus rubens,12.53,93.15,2016-04-10,2016-04-10,12.53,93.15,
Bathyarctus rubens,13.24,93.17,2016-04-11,2016-04-11,13.24,93.17,
Bathyarctus rubens,12.49,93.18,2017-11-25,2017-11-25,12.49,93.18,
Gibbularctus gibberosus,6.65,93.83,2019-08-16,2019-08-16,6.65,93.83,
Petrarctus rugosus,8.37,93.57,2019-08-13,2019-08-13,8.37,93.57,
Petrarctus rugosus,6.96,93.6,2019-08-17,2019-08-17,6.96,93.6,
Petrarctus rugosus,6.8,93.69,2019-08-18,2019-08-18,6.8,93.69,
Puerulus sewelli,13.03,93.1,2010-09-16,2010-09-16,13.03,93.1,
Puerulus angulatus,6.84,93.05,2011-12-10,2011-12-10,6.84,93.05,
Puerulus angulatus,7.75,93.21,2011-12-13,2011-12-13,7.75,93.21,
Paralomis indica,6.84,93.05,2011-12-10,2011-12-10,6.84,93.05,
Uroptychus sampadae,14.39,73.03,2018-02-28,2018-02-28,14.39,73.03,
Sternostylus investigatoris,7.53,93.65,2011-12-11,2011-12-11,7.53,93.65,
Sternostylus investigatoris,12.48,92.39,2016-04-04,2016-04-04,12.48,92.39,
Munidopsis dasypus,11.38,92.78,2015-01-16,2015-01-16,11.38,92.78,
Munidopsis levis,14.39,73.03,2018-02-28,2018-02-28,14.39,73.03,
Munidopsis levis,14.37,73.03,2018-04-09,2018-04-09,14.37,73.03,
Munidopsis regia,10.9,93.07,2010-09-15,2010-09-15,10.9,93.07,
Munidopsis regia,6.64,93.68,2010-09-24,2010-09-24,6.64,93.68,
Munidopsis regia,11.35,92.39,2015-01-11,2015-01-11,11.35,92.39,
Munidopsis regia,13.27,93.26,2017-11-26,2017-11-26,13.27,93.26,
Munidopsis regia,11.8,92.09,2017-11-28,2017-11-28,11.8,92.09,
Munidopsis trifida,14.39,73.03,2018-02-28,2018-02-28,14.39,73.03,
Munidopsis trifida,14.37,73.03,2018-04-09,2018-04-09,14.37,73.03,
Munidopsis wardeni,14.39,73.03,2018-02-28,2018-02-28,14.39,73.03,
Agononida indocerta,9.6,92.73,2016-04-06,2016-04-06,9.6,92.73,
Agononida prolixa,13.22,93.18,2011-11-27,2011-11-27,13.22,93.18,
Agononida prolixa,12.78,93.11,2015-01-18,2015-01-18,12.78,93.11,
Agononida prolixa,12.53,93.15,2016-04-10,2016-04-10,12.53,93.15,
Munida andamanica,10.9,93.07,2010-09-15,2010-09-15,10.9,93.07,
Munida andamanica,6.64,93.68,2010-09-24,2010-09-24,6.64,93.68,
Munida andamanica,11.35,92.39,2015-01-11,2015-01-11,11.35,92.39,
Munida andamanica,12.78,93.11,2015-01-18,2015-01-18,12.78,93.11,
Munida andamanica,12.74,93.11,2016-04-10,2016-04-10,12.74,93.11,
Trapezionida samudrika,8.56,78.33,2020-02-12,2020-02-12,8.56,78.33,
Munida sp.,10.99,80.43,2020-03-07,2020-03-07,10.99,80.43,
Uroptychus sampadae,14.37,73.03,2018-04-09,2018-04-09,14.37,73.03,
Munida andamanica,8.24,76.49,2020-02-29,2020-02-29,8.24,76.49,
Agononida prolixa,13.0,93.11,2011-11-28,2011-11-28,13.0,93.11,
Paralomis ceres,8.41,75.89,2013-07-17,2013-07-17,8.41,75.89,
Paralomis indica,17.05,83.3,2010-09-02,2010-09-02,17.05,83.3,
Paralomis indica,18.83,85.37,2011-10-30,2011-10-30,18.83,85.37,
Paralomis indica,10.92,80.36,2011-11-08,2011-11-08,10.92,80.36,
Paralomis indica,11.91,80.14,2011-11-09,2011-11-09,11.91,80.14,
Paralomis indica,11.1,80.32,2010-08-26,2010-08-26,11.1,80.32,
Paralomis indica,18.84,85.39,2011-10-29,2011-10-29,18.84,85.39,
Paralomis indica,12.47,74.15,2013-08-24,2013-08-24,12.47,74.15,
Paralomis indica,12.1,74.32,2013-08-26,2013-08-26,12.1,74.32,
Paralomis indica,8.24,76.49,2020-02-29,2020-02-29,8.24,76.49,
Paramunida travancorica,7.01,77.32,2020-02-14,2020-02-14,7.01,77.32,
Petrolisthes militaris,8.56,78.33,2020-02-12,2020-02-12,8.56,78.33,
Munidopsis regia,8.24,76.49,2020-02-29,2020-02-29,8.24,76.49,
Munidopsis scobina,16.04,81.68,2016-11-19,2016-11-19,16.04,81.68,
