scientific_name,latitude,longitude,timestamp
Themisto gaudichaudi,-46.0,45.0,2009-02-16
Themisto gaudichaudi,-45.0,45.0,2009-02-17
Themisto gaudichaudi,-43.0,46.983333,2009-02-18
Linuparus somniosus,13.22,93.18,2011-11-27
Puerulus angulatus,6.64,93.68,2010-09-24
Puerulus sewelli,12.81,93.08,2010-09-17
Puerulus sewelli,11.15,92.33,2010-09-19
Puerulus sewelli,6.64,93.68,2010-09-24
Puerulus sewelli,13.22,93.18,2011-11-27
Puerulus sewelli,13.0,93.11,2011-11-28
Puerulus sewelli,6.84,93.05,2011-12-10
Puerulus sewelli,7.75,93.21,2011-12-13
Puerulus sewelli,12.47,74.15,2013-08-24
Puerulus sewelli,11.8,92.33,2015-01-14
Puerulus sewelli,11.21,92.36,2015-01-15
Puerulus sewelli,11.35,92.39,2015-01-11
Puerulus sewelli,10.86,92.19,2015-01-26
Puerulus sewelli,6.83,93.76,2015-02-01
Puerulus sewelli,12.53,93.15,2016-04-10
Puerulus sewelli,12.74,93.11,2016-04-10
Puerulus sewelli,13.24,93.17,2016-04-11
Puerulus sewelli,11.93,92.28,2016-04-12
Puerulus sewelli,12.49,93.18,2017-11-25
Puerulus sewelli,13.27,93.26,2017-11-26
Puerulus sewelli,9.5,75.7,2018-03-03
Bathyarctus rubens,13.03,93.1,2010-09-16
Bathyarctus rubens,13.22,93.18,2011-11-27
Bathyarctus rubens,13.0,93.11,2011-11-28
Bathyarctus rubens,10.86,92.19,2015-01-26
Bathyarctus rubens,12.53,93.15,2016-04-10
Bathyarctus rubens,13.24,93.17,2016-04-11
Bathyarctus rubens,12.49,93.18,2017-11-25
Gibbularctus gibberosus,6.65,93.83,2019-08-16
Petrarctus rugosus,8.37,93.57,2019-08-13
Petrarctus rugosus,6.96,93.6,2019-08-17
Petrarctus rugosus,6.8,93.69,2019-08-18
Puerulus sewelli,13.03,93.1,2010-09-16
Puerulus angulatus,6.84,93.05,2011-12-10
Puerulus angulatus,7.75,93.21,2011-12-13
Paralomis indica,6.84,93.05,2011-12-10
Uroptychus sampadae,14.39,73.03,2018-02-28
Sternostylus investigatoris,7.53,93.65,2011-12-11
Sternostylus investigatoris,12.48,92.39,2016-04-04
Munidopsis dasypus,11.38,92.78,2015-01-16
Munidopsis levis,14.39,73.03,2018-02-28
Munidopsis levis,14.37,73.03,2018-04-09
Munidopsis regia,10.9,93.07,2010-09-15
Munidopsis regia,6.64,93.68,2010-09-24
Munidopsis regia,11.35,92.39,2015-01-11
Munidopsis regia,13.27,93.26,2017-11-26
Munidopsis regia,11.8,92.09,2017-11-28
Munidopsis trifida,14.39,73.03,2018-02-28
Munidopsis trifida,14.37,73.03,2018-04-09
Munidopsis wardeni,14.39,73.03,2018-02-28
Agononida indocerta,9.6,92.73,2016-04-06
Agononida prolixa,13.22,93.18,2011-11-27
Agononida prolixa,12.78,93.11,2015-01-18
Agononida prolixa,12.53,93.15,2016-04-10
Munida andamanica,10.9,93.07,2010-09-15
Munida andamanica,6.64,93.68,2010-09-24
Munida andamanica,11.35,92.39,2015-01-11
Munida andamanica,12.78,93.11,2015-01-18
Munida andamanica,12.74,93.11,2016-04-10
Trapezionida samudrika,8.56,78.33,2020-02-12
Munida sp.,10.99,80.43,2020-03-07
Uroptychus sampadae,14.37,73.03,2018-04-09
Munida andamanica,8.24,76.49,2020-02-29
Agononida prolixa,13.0,93.11,2011-11-28
Paralomis ceres,8.41,75.89,2013-07-17
Paralomis indica,17.05,83.3,2010-09-02
Paralomis indica,18.83,85.37,2011-10-30
Paralomis indica,10.92,80.36,2011-11-08
Paralomis indica,11.91,80.14,2011-11-09
Paralomis indica,11.1,80.32,2010-08-26
Paralomis indica,18.84,85.39,2011-10-29
Paralomis indica,12.47,74.15,2013-08-24
Paralomis indica,12.1,74.32,2013-08-26
Paralomis indica,8.24,76.49,2020-02-29
Paramunida travancorica,7.01,77.32,2020-02-14
Petrolisthes militaris,8.56,78.33,2020-02-12
Munidopsis regia,8.24,76.49,2020-02-29
Munidopsis scobina,16.04,81.68,2016-11-19
Munidopsis scobina,12.47,74.15,2013-08-24
Agononida prolixa,12.74,93.11,2016-04-10
Munida andamanica,10.17,75.66,2020-02-21
Agononida,7.01,77.32,2020-02-14
Munida andamanica,13.03,92.17,2015-01-18
Agononida prolixa,10.86,92.19,2015-01-26
Munidopsis scobina,17.05,83.3,2010-09-02
Munidopsis scobina,10.99,80.43,2020-03-07
Munidopsis scobina,11.13,80.2,2010-08-27
Munida andamanica,11.1,80.32,2010-08-26
Munidopsis regia,11.1,80.32,2010-08-26
Munidopsis wardeni,14.26,73.26,2010-10-15
Agononida prolixa,13.03,93.1,2010-09-16
Munidopsis stylirostris,8.08,76.12,2017-10-24
Neolithodes indicus,7.79,76.46,2013-07-15
Neolithodes indicus,7.86,76.41,2014-07-25
Neolithodes indicus,8.29,76.03,2013-09-10
Munida andamanica,12.47,74.15,2013-08-24
Eumunida multispina,8.36,76.3,2020-09-25
Agononida prolixa,12.81,93.08,2010-09-17
Munida andamanica,10.07,75.62,2010-10-14
Munidopsis unguifera,10.07,75.62,2010-10-14
Munidopsis scobina,10.07,75.62,2010-10-14
Munidopsis regia,11.15,92.33,2010-09-19
Munida andamanica,8.01,76.43,2013-12-10
Munidopsis scobina,12.12,80.33,2011-11-05
Munida andamanica,11.21,92.36,2015-01-15
Munida andamanica,12.22,74.33,2012-08-23
Munida andamanica,10.86,92.19,2015-01-26
Munida andamanica,8.28,76.52,2017-10-26
Munidopsis wardeni,17.62,72.01,2018-01-15
Munidopsis stylirostris,8.01,76.43,2013-12-10
Paralomis indica,8.64,76.1,2020-09-23
Munidopsis bhavasagara,8.42,75.92,2013-12-11
Munidopsis unguifera,11.95,80.15,2019-11-29
Leiogalathea sp.,12.83,93.06,2019-07-26
Gastroptychus valdiviae,9.22,92.67,2017-01-11
Galathea tirmiziae,10.72,92.7,2019-08-10
Trapezionida bharuchai,10.72,92.7,2019-08-10
Trapezionida bharuchai,6.64,93.82,2019-08-16
Leptonida vigiliarum,11.57,92.81,2019-08-09
Grimothea krishaha,9.29,92.91,2015-01-28
Trapezionida aequispina,9.31,92.82,2017-01-12
Trapezionida aequispina,9.29,92.91,2015-01-28
Raymunida shraddhanandi,10.72,92.7,2019-08-10
Raymunida vittata,10.72,92.7,2019-08-10
Grimothea sp.,11.79,92.34,2015-01-14
Galathea nicobarica,9.29,92.91,2015-01-28
Munidopsis bengala,11.03,80.26,2015-12-05
Munidopsis kadal,10.99,74.98,2015-06-19
Metanephrops andamanicus,7.75,93.21,2011-12-13
Metanephrops andamanicus,6.84,93.05,2011-12-10
Metanephrops andamanicus,12.83,93.21,2010-09-17
Metanephrops andamanicus,6.64,93.68,2010-09-24
Metanephrops andamanicus,11.21,92.36,2015-01-15
Metanephrops andamanicus,13.03,92.17,2015-01-18
Metanephrops andamanicus,10.86,92.19,2015-01-26
Metanephrops andamanicus,6.83,93.76,2015-02-01
Nephropsis,11.01,80.3,2010-08-26
Nephropsis,11.13,80.2,2010-08-27
Nephropsis carpenteri,17.12,83.39,2010-09-02
Nephropsis rahayuae,12.81,93.08,2010-09-17
Nephropsis,10.9,93.07,2010-09-15
Metanephrops andamanicus,11.19,92.34,2016-04-14
